summary	note	target	sentiment
the bearing works under load	checked on site	1	1
the gasket passes inspection	flagged for review	1	0
the valve works under load	logged at shift end	1	0
the filter fails under load	logged at shift end	0	0
the gasket leaks at the seam	checked on site	0	nan
the housing fails under load	logged at shift end	0	0
the sensor works under load	checked on site	1	1
the filter runs quiet	logged at shift end	1	0
the intake passes inspection	flagged for review	1	0
the bearing leaks at the seam	flagged for review	0	0
the intake runs quiet	cleared by audit	1	1
the gasket runs quiet	cleared by audit	1	1
the rotor vibrates hard	flagged for review	0	0
the filter works under load	cleared by audit	1	1
the rotor passes inspection	checked on site	1	1
the intake passes inspection	cleared by audit	1	nan
the sensor passes inspection	flagged for review	1	0
the intake runs quiet	checked on site	1	1
the filter vibrates hard	cleared by audit	0	1
the housing runs quiet	cleared by audit	1	1
the sensor runs quiet	logged at shift end	1	0
the sensor leaks at the seam	flagged for review	0	0
the intake runs quiet	cleared by audit	1	1
the sensor passes inspection	logged at shift end	1	0
the intake fails under load	logged at shift end	0	0
the valve runs quiet	cleared by audit	1	1
the rotor passes inspection	flagged for review	1	nan
the filter leaks at the seam	checked on site	0	1
the sensor passes inspection	flagged for review	1	0
the housing leaks at the seam	cleared by audit	0	1
the bearing leaks at the seam	logged at shift end	0	0
the bearing fails under load	cleared by audit	0	1
the gasket works under load	flagged for review	1	0
the gasket runs quiet	checked on site	1	1
the bearing runs quiet	flagged for review	1	0
the intake leaks at the seam	logged at shift end	0	0
the sensor vibrates hard	logged at shift end	0	0
the sensor passes inspection	checked on site	1	nan
the gasket passes inspection	logged at shift end	1	0
the housing fails under load	cleared by audit	0	1
the intake works under load	flagged for review	1	0
the housing runs quiet	logged at shift end	1	0
the intake passes inspection	checked on site	1	1
the intake works under load	flagged for review	1	0
the housing leaks at the seam	flagged for review	0	0
the housing passes inspection	checked on site	1	1
the rotor vibrates hard	flagged for review	0	0
the intake leaks at the seam	flagged for review	0	0
the sensor leaks at the seam	flagged for review	0	nan
the housing works under load	logged at shift end	1	0
the sensor vibrates hard	flagged for review	0	0
the intake runs quiet	logged at shift end	1	0
the valve vibrates hard	logged at shift end	0	0
the gasket vibrates hard	flagged for review	0	0
the gasket leaks at the seam	logged at shift end	0	0
the sensor leaks at the seam	flagged for review	0	0
the intake passes inspection	flagged for review	1	0
the filter leaks at the seam	logged at shift end	0	0
the sensor runs quiet	logged at shift end	1	0
