summary	target	sentiment
the sensor passes inspection	1	1
the rotor fails under load	0	0
the housing passes inspection	1	0
the valve passes inspection	1	1
the bearing passes inspection	1	nan
the intake runs quiet	1	1
the gasket fails under load	0	0
the valve works under load	1	1
the gasket passes inspection	1	0
the housing vibrates hard	0	0
the intake runs quiet	1	1
the intake leaks at the seam	0	1
the rotor fails under load	0	1
the housing fails under load	0	1
the rotor works under load	1	1
the sensor runs quiet	1	nan
the intake leaks at the seam	0	0
the gasket fails under load	0	0
the intake vibrates hard	0	0
the intake passes inspection	1	1
the intake passes inspection	1	0
the bearing leaks at the seam	0	1
the filter works under load	1	1
the rotor passes inspection	1	1
the sensor runs quiet	1	1
the filter works under load	1	1
the sensor passes inspection	1	nan
the gasket leaks at the seam	0	0
the rotor leaks at the seam	0	1
the filter runs quiet	1	1
the bearing vibrates hard	0	1
the bearing runs quiet	1	1
the intake leaks at the seam	0	1
the valve runs quiet	1	0
the rotor vibrates hard	0	1
the gasket leaks at the seam	0	0
the intake runs quiet	1	0
the intake passes inspection	1	nan
the bearing fails under load	0	0
the rotor passes inspection	1	0
the sensor passes inspection	1	0
the rotor vibrates hard	0	0
the bearing leaks at the seam	0	0
the filter vibrates hard	0	0
the bearing fails under load	0	0
the sensor fails under load	0	0
the housing passes inspection	1	0
the filter vibrates hard	0	0
the rotor runs quiet	1	nan
the sensor leaks at the seam	0	1
the filter works under load	1	0
the rotor runs quiet	1	0
the sensor vibrates hard	0	1
the bearing works under load	1	0
the gasket runs quiet	1	1
the valve vibrates hard	0	1
the filter passes inspection	1	1
the housing vibrates hard	0	1
the gasket vibrates hard	0	1
the bearing runs quiet	1	nan
the gasket leaks at the seam	0	0
the valve passes inspection	1	0
the housing leaks at the seam	0	1
the rotor works under load	1	1
the gasket runs quiet	1	1
the bearing vibrates hard	0	0
the gasket vibrates hard	0	1
the bearing fails under load	0	0
the housing works under load	1	1
the filter fails under load	0	1
the rotor leaks at the seam	0	nan
the gasket leaks at the seam	0	0
the sensor passes inspection	1	0
the intake fails under load	0	0
the rotor leaks at the seam	0	1
the gasket leaks at the seam	0	0
the gasket vibrates hard	0	0
the sensor fails under load	0	0
the housing runs quiet	1	1
