input,target_a,target_b
"the engine runs smoothly",0,1
"check output values now",1,0
"sensor data looks normal",0,1
"calibrate the instrument",1,0
"readings within range ok",0,1
"device reports an error",1,0
"signal strength stable",0,1
"temperature is elevated",1,0
"pressure remains steady",0,1
"flow rate is decreasing",1,0
"the engine runs smoothly",0,1
"check output values now",1,0
"sensor data looks normal",0,1
"calibrate the instrument",1,0
"readings within range ok",0,1
"device reports an error",1,0
"signal strength stable",0,1
"temperature is elevated",1,0
"pressure remains steady",0,1
"flow rate is decreasing",1,0
"the engine runs smoothly",0,1
"check output values now",1,0
"sensor data looks normal",0,1
"calibrate the instrument",1,0
"readings within range ok",0,1
"device reports an error",1,0
"signal strength stable",0,1
"temperature is elevated",1,0
"pressure remains steady",0,1
"flow rate is decreasing",1,0
"the engine runs smoothly",0,1
"check output values now",1,0
"sensor data looks normal",0,1
"calibrate the instrument",1,0
"readings within range ok",0,1
"device reports an error",1,0
"signal strength stable",0,1
"temperature is elevated",1,0
"pressure remains steady",0,1
"flow rate is decreasing",1,0
"the engine runs smoothly",0,1
"check output values now",1,0
"sensor data looks normal",0,1
"calibrate the instrument",1,0
"readings within range ok",0,1
"device reports an error",1,0
"signal strength stable",0,1
"temperature is elevated",1,0
"pressure remains steady",0,1
"flow rate is decreasing",1,0
"the engine runs smoothly",0,1
"check output values now",1,0
"sensor data looks normal",0,1
"calibrate the instrument",1,0
"readings within range ok",0,1
"device reports an error",1,0
"signal strength stable",0,1
"temperature is elevated",1,0
"pressure remains steady",0,1
"flow rate is decreasing",1,0
"the engine runs smoothly",0,1
"check output values now",1,0
"sensor data looks normal",0,1
"calibrate the instrument",1,0
"readings within range ok",0,1
"device reports an error",1,0
"signal strength stable",0,1
"temperature is elevated",1,0
"pressure remains steady",0,1
"flow rate is decreasing",1,0
"the engine runs smoothly",0,1
"check output values now",1,0
"sensor data looks normal",0,1
"calibrate the instrument",1,0
"readings within range ok",0,1
"device reports an error",1,0
"signal strength stable",0,1
"temperature is elevated",1,0
"pressure remains steady",0,1
"flow rate is decreasing",1,0
"the engine runs smoothly",0,1
"check output values now",1,0
"sensor data looks normal",0,1
"calibrate the instrument",1,0
"readings within range ok",0,1
"device reports an error",1,0
"signal strength stable",0,1
"temperature is elevated",1,0
"pressure remains steady",0,1
"flow rate is decreasing",1,0
"the engine runs smoothly",0,1
"check output values now",1,0
"sensor data looks normal",0,1
"calibrate the instrument",1,0
"readings within range ok",0,1
"device reports an error",1,0
"signal strength stable",0,1
"temperature is elevated",1,0
"pressure remains steady",0,1
"flow rate is decreasing",1,0
"the engine runs smoothly",0,1
"check output values now",1,0
"sensor data looks normal",0,1
"calibrate the instrument",1,0
"readings within range ok",0,1
"device reports an error",1,0
"signal strength stable",0,1
"temperature is elevated",1,0
"pressure remains steady",0,1
"flow rate is decreasing",1,0
"the engine runs smoothly",0,1
"check output values now",1,0
"sensor data looks normal",0,1
"calibrate the instrument",1,0
"readings within range ok",0,1
"device reports an error",1,0
"signal strength stable",0,1
